City ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date/Time
0,kralendijk,12.15,-68.2667,84.18,79,100,12.66,BQ,2023-09-22 20:40:41
1,adamstown,-25.066,-130.1015,69.26,88,2,15.3,PN,2023-09-22 20:37:43
2,yellowknife,62.456,-114.3525,64.42,68,100,14.97,CA,2023-09-22 20:40:41
3,pisco,-13.7,-76.2167,64.45,82,0,10.36,PE,2023-09-22 20:36:16
4,bilibino,68.0546,166.4372,38.98,82,100,0.25,RU,2023-09-22 20:34:33
5,queenstown,-31.8976,26.8753,45.99,87,69,2.39,ZA,2023-09-22 20:40:42
6,lamarque,-39.423,-65.7021,52.9,79,100,11.3,AR,2023-09-22 20:40:42
7,bosaso,11.2842,49.1816,91.31,52,72,9.51,SO,2023-09-22 20:40:42
8,georgetown,5.4112,100.3354,84.07,83,20,5.75,MY,2023-09-22 20:35:49
9,happy valley-goose bay,53.3168,-60.3315,52.11,76,100,6.91,CA,2023-09-22 20:40:43
10,port lincoln,-34.7333,135.8667,66.85,54,0,7.54,AU,2023-09-22 20:36:01
11,port-aux-francais,-49.35,70.2167,36.3,77,100,42.64,TF,2023-09-22 20:40:43
12,stanley,54.868,-1.6985,48.09,93,40,3.44,GB,2023-09-22 20:34:43
13,grytviken,-54.2811,-36.5092,19.38,82,17,11.48,GS,2023-09-22 20:37:47
14,kerikeri,-35.2268,173.9474,62.91,94,100,5.01,NZ,2023-09-22 20:35:16
15,tateyama,34.9833,139.8667,74.1,83,100,13.67,JP,2023-09-22 20:40:43
16,nalgonda,17.05,79.2667,83.44,72,100,5.14,IN,2023-09-22 20:40:44
17,albany,42.6001,-73.9662,54.77,81,97,2.51,US,2023-09-22 20:35:27
18,ilulissat,69.2167,-51.1,30.22,37,18,28.77,GL,2023-09-22 20:34:32
19,puerto ayora,-0.7393,-90.3518,74.55,91,61,3.0,EC,2023-09-22 20:37:55
20,olonkinbyen,70.9221,-8.7187,37.76,73,86,15.61,SJ,2023-09-22 20:34:55
21,puerto natales,-51.7236,-72.4875,33.17,90,32,5.95,CL,2023-09-22 20:31:17
22,hammerfest,70.6634,23.6821,46.85,100,75,4.61,NO,2023-09-22 20:40:45
23,port elizabeth,-33.918,25.5701,60.69,78,100,6.91,ZA,2023-09-22 20:34:49
24,college,64.8569,-147.8028,42.75,71,75,0.0,US,2023-09-22 20:35:12
25,edinburgh of the seven seas,-37.0676,-12.3116,54.54,71,97,28.32,SH,2023-09-22 20:40:45
26,ushuaia,-54.8,-68.3,40.66,56,20,29.93,AR,2023-09-22 20:31:25
27,bethel,41.3712,-73.414,56.98,76,0,5.75,US,2023-09-22 20:34:36
28,iqaluit,63.7506,-68.5145,29.7,92,100,6.91,CA,2023-09-22 20:30:13
29,hamilton,39.1834,-84.5333,66.11,62,0,9.22,US,2023-09-22 20:30:22
30,papatowai,-46.5619,169.4708,43.9,90,100,6.93,NZ,2023-09-22 20:34:39
31,kuanda,56.3161,116.0806,60.04,44,19,1.57,RU,2023-09-22 20:40:46
32,vadso,70.0744,29.7487,50.16,93,100,10.36,NO,2023-09-22 20:34:49
