City ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date/Time
0,lazaro cardenas,17.9583,-102.2,84.56,71,93,1.07,MX,2023-08-27 08:53:57
1,chuhar jamali,24.3895,67.9923,81.91,67,71,18.99,PK,2023-08-27 08:53:57
2,invercargill,-46.4,168.35,35.02,94,39,4.0,NZ,2023-08-27 08:53:58
3,ialibu,-6.2821,143.9935,56.66,100,100,0.98,PG,2023-08-27 08:53:58
4,grytviken,-54.2811,-36.5092,29.08,89,93,11.34,GS,2023-08-27 08:53:58
5,aasiaat,68.7098,-52.8699,39.15,79,98,7.63,GL,2023-08-27 08:53:58
6,tromso,69.6496,18.957,60.39,87,40,10.36,NO,2023-08-27 08:53:59
7,lompoc,34.6391,-120.4579,71.49,84,100,1.01,US,2023-08-27 08:53:59
8,altay,47.8667,88.1167,76.66,22,100,9.26,CN,2023-08-27 08:53:59
9,ribeira grande,38.5167,-28.7,75.6,83,75,25.32,PT,2023-08-27 08:53:59
10,nalut,30.3333,10.85,104.58,13,89,6.71,LY,2023-08-27 08:54:00
11,buala,-8.145,159.5921,77.59,83,83,5.82,SB,2023-08-27 08:54:00
12,bilibino,68.0546,166.4372,45.37,93,100,1.48,RU,2023-08-27 08:54:00
13,thompson,55.7435,-97.8558,55.56,94,100,14.97,CA,2023-08-27 08:54:00
14,alice springs,-23.7,133.8833,47.75,34,4,5.75,AU,2023-08-27 08:50:57
15,enewetak,11.3474,162.3373,81.12,82,100,20.98,MH,2023-08-27 08:54:01
16,edinburgh of the seven seas,-37.0676,-12.3116,56.08,92,100,4.21,SH,2023-08-27 08:54:01
17,blackmans bay,-43.0167,147.3167,37.15,92,0,4.27,AU,2023-08-27 08:54:01
18,afaahiti,-17.75,-149.2833,75.07,66,38,16.55,PF,2023-08-27 08:54:02
19,iqaluit,63.7506,-68.5145,45.7,45,40,16.11,CA,2023-08-27 08:54:02
20,haiku-pauwela,20.9219,-156.3051,70.39,79,75,11.5,US,2023-08-27 08:54:02
21,akrehamn,59.2667,5.1833,59.36,82,75,5.75,NO,2023-08-27 08:46:28
22,port-aux-francais,-49.35,70.2167,43.54,96,100,42.1,TF,2023-08-27 08:41:58
23,tiksi,71.6872,128.8694,52.43,93,54,4.56,RU,2023-08-27 08:54:03
24,albany,42.6001,-73.9662,68.04,77,72,1.99,US,2023-08-27 08:46:38
25,udachny,66.4167,112.4,66.45,48,32,5.68,RU,2023-08-27 08:54:03
26,abasha,42.2096,42.2211,80.82,79,0,4.54,GE,2023-08-27 08:54:04
27,adamstown,-25.066,-130.1015,67.37,70,75,13.04,PN,2023-08-27 08:45:36
28,vorgashor,67.5833,63.95,41.67,94,98,6.8,RU,2023-08-27 08:54:04
29,fort bragg,35.139,-79.006,88.77,62,0,3.44,US,2023-08-27 08:46:13
30,saint-francois,46.4154,3.9054,69.24,46,0,12.66,FR,2023-08-27 08:54:04
31,talara,-4.5772,-81.2719,75.96,69,0,15.35,PE,2023-08-27 08:54:05
32,uturoa,-16.7333,-151.4333,78.31,69,47,12.77,PF,2023-08-27 08:54:05
33,ginir,7.1333,40.7,70.72,39,6,9.86,ET,2023-08-27 08:54:05
34,morehead city,34.7229,-76.726,87.75,75,75,3.0,US,2023-08-27 08:46:25
35,port alfred,-33.5906,26.891,61.18,77,36,6.49,ZA,2023-08-27 08:54:05
36,sandnessjoen,66.0217,12.6316,68.11,45,0,11.5,NO,2023-08-27 08:51:26
37,ushuaia,-54.8,-68.3,46.06,53,0,2.3,AR,2023-08-27 08:49:47
38,hamilton,39.1834,-84.5333,72.28,77,40,10.36,US,2023-08-27 08:50:11
39,singapur,1.2897,103.8501,82.22,83,75,5.75,SG,2023-08-27 08:54:06
40,hawaiian paradise park,19.5933,-154.9731,69.15,95,100,8.05,US,2023-08-27 08:54:07
41,mahina,-17.5065,-149.489,76.77,69,20,12.66,PF,2023-08-27 08:46:06
42,port elizabeth,-33.918,25.5701,62.89,63,0,4.61,ZA,2023-08-27 08:49:13
43,arraial do cabo,-22.9661,-42.0278,64.26,88,100,4.61,BR,2023-08-27 08:49:26
44,aykhal,66.0,111.5,59.9,56,41,6.29,RU,2023-08-27 08:54:09
45,havre,49.5833,0.3333,62.56,77,100,18.41,FR,2023-08-27 08:54:10
46,betio village,1.358,172.9211,80.64,68,89,7.2,KI,2023-08-27 08:54:10
47,whitehorse,60.7161,-135.0538,57.43,70,20,13.8,CA,2023-08-27 08:54:10
48,nouadhibou,20.931,-17.0347,89.58,51,7,17.27,MR,2023-08-27 08:54:10
49,isafjordur,66.0755,-23.124,60.84,48,20,9.22,IS,2023-08-27 08:54:11
50,la cruz,23.9167,-106.9,86.92,71,14,0.87,MX,2023-08-27 08:54:11
51,howard springs,-12.497,131.047,71.31,83,57,4.76,AU,2023-08-27 08:54:12
52,stanley,54.868,-1.6985,57.72,93,75,2.3,GB,2023-08-27 08:54:12
53,malabar,-33.9667,151.25,52.95,84,40,4.61,AU,2023-08-27 08:54:12
54,hithadhoo,-0.6,73.0833,82.9,73,97,4.25,MV,2023-08-27 08:54:13
55,kummersbruck,49.4192,11.8883,62.91,95,100,3.0,DE,2023-08-27 08:54:13
56,sanliurfa,37.2128,38.7817,94.87,17,0,10.74,TR,2023-08-27 08:54:13
57,egilsstadir,65.2653,-14.3948,55.31,76,75,5.75,IS,2023-08-27 08:47:28
58,vila franca do campo,37.7167,-25.4333,77.41,68,88,12.57,PT,2023-08-27 08:54:14
59,bamboo flat,11.7,92.7167,82.49,83,40,6.91,IN,2023-08-27 08:54:14
60,guiglo,6.5456,-7.4966,82.22,74,99,4.74,CI,2023-08-27 08:54:15
61,kyshtovka,56.555,76.6271,55.89,76,86,8.3,RU,2023-08-27 08:49:51
62,susuman,62.7833,148.1667,46.83,74,99,2.89,RU,2023-08-27 08:54:15
63,kailua-kona,19.6406,-155.9956,72.57,86,100,10.36,US,2023-08-27 08:50:37
64,anadyr,64.75,177.4833,44.01,75,0,8.01,RU,2023-08-27 08:54:16
65,wailua homesteads,22.0669,-159.378,72.36,86,75,13.8,US,2023-08-27 08:54:16
66,fort abbas,29.1925,72.8536,97.14,32,8,9.22,PK,2023-08-27 08:54:16
67,constantia,44.1833,28.65,83.08,62,0,7.4,RO,2023-08-27 08:54:16
68,xilin hot,43.9667,116.0333,55.58,55,0,6.49,CN,2023-08-27 08:50:51
69,hermanus,-34.4187,19.2345,58.89,72,0,10.56,ZA,2023-08-27 08:54:17
